                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.16111,                 1.2646,                0.91549,                0.56047,                0.72191,                0.73281,                0.73224,                 0.1308,                 1.4909,                0.18108,               0.067032,             0.00033301,             0.00033301
                      2,                0.12515,                0.87861,                0.90083,                  0.841,                0.87385,                0.92102,                0.91691,                0.22866,                0.66108,                0.21311,               0.034006,             0.00063995,             0.00063995
                      3,                0.11693,                0.75487,                0.89745,                0.85773,                0.87412,                0.92295,                0.92287,                0.16601,                0.57298,                0.16207,             0.00095315,              0.0009205,              0.0009205
                      4,                0.10154,                0.68806,                0.89594,                0.88992,                0.88735,                0.94836,                0.94816,                 0.1264,                0.50204,                0.13505,              0.0008812,              0.0008812,              0.0008812
                      5,                0.09482,                0.64704,                 0.8962,                0.90123,                0.91259,                0.95768,                0.95759,                0.11603,                0.40178,                0.13534,              0.0008416,              0.0008416,              0.0008416
                      6,                0.08822,                0.61571,                0.89473,                0.89659,                0.91248,                0.96272,                0.96269,                0.16621,                0.39097,                 0.1582,               0.000802,               0.000802,               0.000802
                      7,                0.08119,                0.57084,                0.89285,                0.89797,                0.92112,                0.94871,                0.94871,                0.10868,                0.34809,                0.12468,              0.0007624,              0.0007624,              0.0007624
                      8,                0.07844,                0.55526,                0.89135,                0.90988,                0.92358,                0.96524,                0.96435,                0.10213,                0.32675,                0.12164,              0.0007228,              0.0007228,              0.0007228
                      9,                0.07459,                0.52414,                0.88933,                0.93651,                0.92408,                0.96591,                0.96489,                0.21372,                0.40488,                0.20265,              0.0006832,              0.0006832,              0.0006832
                     10,                0.06951,                0.52152,                0.88887,                0.87694,                0.93904,                 0.9648,                0.96434,                0.14004,                0.38645,                0.14159,              0.0006436,              0.0006436,              0.0006436
                     11,                0.06598,                0.50613,                 0.8879,                0.94538,                 0.9107,                0.97244,                0.97218,                0.12619,                0.30726,                0.12655,               0.000604,               0.000604,               0.000604
                     12,                0.06263,                0.48466,                0.89024,                0.91004,                0.91166,                0.97154,                0.97142,                0.10234,                0.33822,                0.11368,              0.0005644,              0.0005644,              0.0005644
                     13,                0.06203,                0.48123,                0.89131,                0.94063,                0.93575,                0.97532,                0.97527,                0.09867,                0.29124,                0.11383,              0.0005248,              0.0005248,              0.0005248
                     14,                0.05834,                0.46771,                0.89102,                0.93513,                0.94448,                0.97541,                0.97541,                0.12575,                0.29161,                  0.122,              0.0004852,              0.0004852,              0.0004852
                     15,                0.05643,                0.44237,                0.88856,                0.94429,                0.93151,                0.97326,                0.97326,                0.08562,                0.27554,                0.09486,              0.0004456,              0.0004456,              0.0004456
                     16,                0.05587,                0.32791,                0.90781,                 0.9474,                0.93675,                 0.9782,                0.97631,                0.19714,                0.36773,                0.17908,               0.000406,               0.000406,               0.000406
                     17,                  0.047,                 0.2618,                 0.9012,                 0.9661,                0.93768,                0.98237,                0.98235,                0.12798,                0.28774,                0.12176,              0.0003664,              0.0003664,              0.0003664
                     18,                0.04294,                  0.244,                0.90407,                0.94972,                 0.9324,                0.97808,                0.97093,                0.27172,                0.46781,                 0.2395,              0.0003268,              0.0003268,              0.0003268
                     19,                0.04314,                0.22305,                0.90097,                0.96012,                0.96441,                0.98737,                0.98697,                0.15815,                0.31503,                0.14573,              0.0002872,              0.0002872,              0.0002872
                     20,                0.03405,                0.20267,                0.90477,                0.94954,                0.96172,                0.98662,                0.98531,                0.16701,                0.31838,                0.15814,              0.0002476,              0.0002476,              0.0002476
                     21,                0.03283,                0.19203,                0.90231,                0.95676,                0.95738,                0.98575,                0.98572,                0.11144,                0.27494,                0.10883,               0.000208,               0.000208,               0.000208
                     22,                0.02824,                 0.1687,                0.89947,                0.97361,                0.96803,                0.99033,                0.99018,                 0.1204,                0.25485,                 0.1199,              0.0001684,              0.0001684,              0.0001684
                     23,                0.02521,                0.15109,                0.90046,                 0.9719,                0.96938,                 0.9902,                 0.9902,                0.13577,                0.28372,                0.13318,              0.0001288,              0.0001288,              0.0001288
                     24,                0.02404,                0.14194,                0.90142,                 0.9745,                0.97402,                0.99128,                0.99108,                0.14833,                0.28923,                0.13998,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.02153,                0.12992,                0.89899,                0.97745,                0.96495,                 0.9901,                0.99006,                0.13442,                0.28059,                0.12767,               4.96e-05,               4.96e-05,               4.96e-05
